author_rank,author_name,author_key,inspire_author_recid,author_type,paper_count,frontier_count,frontiers,first_year,last_year,citable_paper_count,total_citations_on_coauthored_papers,mean_citations_on_coauthored_papers,max_citations_on_coauthored_papers
1249,"Bevan, A.",INSPIRE:1028355,1028355,individual,3,5,CF | EF | IF | NF | RPF,2022,2022,3,153,51.0,82
1250,"Hays, J.",INSPIRE:1055572,1055572,individual,3,5,CF | EF | IF | NF | RPF,2022,2022,3,153,51.0,82
1251,"Mauri, N.",INSPIRE:1056531,1056531,individual,3,5,CF | EF | IF | NF | RPF,2022,2022,3,153,51.0,82
1252,"Patrizii, L.",INSPIRE:994058,994058,individual,3,5,CF | EF | IF | NF | RPF,2022,2022,3,153,51.0,82
1253,"Pozzato, M.",INSPIRE:1271589,1271589,individual,3,5,CF | EF | IF | NF | RPF,2022,2022,3,153,51.0,82
1254,"Profumo, Stefano",INSPIRE:1019758,1019758,individual,3,4,AF | CF | EF | IF,2022,2022,3,153,51.0,99
1255,"Sirri, G.",INSPIRE:1035268,1035268,individual,3,5,CF | EF | IF | NF | RPF,2022,2022,3,153,51.0,82
1256,"Tenti, M.",INSPIRE:1056549,1056549,individual,3,5,CF | EF | IF | NF | RPF,2022,2022,3,153,51.0,82
1257,"Carniti, P.",INSPIRE:1341569,1341569,individual,3,5,CF | IF | NF | RPF | UF,2022,2022,3,152,50.666666666666664,82
1258,"Copello, S.",INSPIRE:1507737,1507737,individual,3,5,CF | IF | NF | RPF | UF,2022,2022,3,152,50.666666666666664,82
1259,"Di Domizio, S.",INSPIRE:1057746,1057746,individual,3,5,CF | IF | NF | RPF | UF,2022,2022,3,152,50.666666666666664,82
1260,"Gallas, A.",INSPIRE:1070778,1070778,individual,3,5,CF | IF | NF | RPF | UF,2022,2022,3,152,50.666666666666664,82
1261,"Zucchelli, S.",INSPIRE:1028740,1028740,individual,3,5,CF | IF | NF | RPF | UF,2022,2022,3,152,50.666666666666664,82
1262,"Dracos, M.",INSPIRE:1011443,1011443,individual,3,6,AF | CF | EF | NF | RPF | UF,2022,2022,3,151,50.333333333333336,114
